Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
AUCTION-USD,Bounce Token USD,25.23,-1.17,-4.44%,163.966M,36.145M,36.145M,36.145M,6.5M
NMR-USD,Numeraire USD,26.50,+1.97,+8.04%,163.487M,46.446M,46.446M,46.446M,6.168M
EDU24613-USD,Open Campus USD,0.594486,-0.021865,-3.55%,161.812M,6.206M,6.206M,6.206M,272.187M
RLC-USD,iExec RLC USD,2.2353,-0.1620,-6.76%,161.797M,71.231M,71.231M,71.231M,72.383M
GNS-USD,Gains Network USD,5.2599,+0.2856,+5.74%,160.184M,30.875M,30.875M,30.875M,30.454M
BABYDOGE-USD,Baby Doge Coin USD,0.00000000,-0.00000000,-1.57%,159.317M,2.062M,2.062M,2.062M,"143,788.796T"
C98-USD,Coin98 USD,0.227501,-0.003306,-1.43%,158.113M,6.767M,6.767M,6.767M,695M
BORG-USD,SwissBorg USD,0.160515,-0.007117,-4.25%,158.004M,"841,817","841,817","841,817",984.355M
POWR-USD,Powerledger USD,0.301882,-0.001668,-0.55%,154.677M,4.396M,4.396M,4.396M,512.375M
CTC-USD,Creditcoin USD,0.490092,-0.003184,-0.65%,154.553M,9.009M,9.009M,9.009M,315.355M
DAO-USD,DAO Maker USD,0.884211,-0.034811,-3.79%,153.858M,2.621M,2.621M,2.621M,174.006M
PYR-USD,Vulcan Forged (PYR) USD,5.6325,+0.0780,+1.40%,153.104M,4.841M,4.841M,4.841M,27.182M
LUSD-USD,Liquity USD USD,0.999463,+0.000624,+0.06%,151.63M,"116,050","116,050","116,050",151.712M
HIVE-USD,Hive USD,0.301928,-0.002580,-0.85%,151.19M,1.363M,1.363M,1.363M,500.749M
ARK-USD,Ark USD,0.845134,-0.002513,-0.30%,151M,7.278M,7.278M,7.278M,178.67M
AMP-USD,Amp USD,0.003540,-0.000017,-0.47%,149.496M,14.555M,14.555M,14.555M,42.228B
SNT-USD,Status USD,0.038545,-0.000218,-0.56%,149.378M,1.719M,1.719M,1.719M,3.875B
AIOZ-USD,AIOZ Network USD,0.138651,+0.001072,+0.78%,148.45M,"880,782","880,782","880,782",1.071B
GUSD-USD,Gemini Dollar USD,0.997883,-0.001118,-0.11%,147.938M,"200,940","200,940","200,940",148.252M
AI28846-USD,Sleepless AI USD,1.1369,-0.0238,-2.05%,147.799M,32.746M,32.746M,32.746M,130M
BFIC-USD,Blockchain Foundation for Innovation & Collaboration USD,13.85,-0.67,-4.59%,146.47M,5.316M,5.316M,5.316M,10.578M
GMT10180-USD,Gomining USD,0.364363,-0.003309,-0.90%,146.344M,1.671M,1.671M,1.671M,401.643M
XNO-USD,Nano USD,1.0911,-0.0315,-2.80%,145.39M,2.223M,2.223M,2.223M,133.248M
BORA-USD,BORA USD,0.141873,-0.001020,-0.71%,140.986M,1.337M,1.337M,1.337M,993.75M
FLEX-USD,FLEX USD,1.4128,-0.3970,-21.94%,139.397M,"143,311","143,311","143,311",98.665M
OM-USD,MANTRA USD,0.170301,+0.036755,+27.52%,135.092M,112.719M,112.719M,112.719M,793.258M
TRIBE-USD,Tribe USD,0.255059,-0.075255,-22.78%,136.152M,"468,639","468,639","468,639",533.805M
TET-USD,Tectum USD,27.03,-0.22,-0.80%,134.645M,2.422M,2.422M,2.422M,4.982M
VVS-USD,VVS Finance USD,0.00000304,+0.00000001,+0.47%,134.291M,3.258M,3.258M,3.258M,44.203T
STRAX-USD,Stratis USD,0.852090,-0.007906,-0.92%,134.107M,4.108M,4.108M,4.108M,157.386M
EURS-USD,STASIS EURO USD,1.0780,-0.0002,-0.02%,133.802M,"177,022","177,022","177,022",124.126M
ALPH-USD,Alephium USD,1.9247,+0.1485,+8.36%,133.687M,1.271M,1.271M,1.271M,69.458M
POLY-USD,Polymath USD,0.144599,-0.002591,-1.76%,133.754M,"17,960","17,960","17,960",924.998M
TRIAS-USD,Trias Token (New) USD,13.54,-0.26,-1.87%,131.389M,1.61M,1.61M,1.61M,9.704M
ACH-USD,Alchemy Pay USD,0.018098,-0.000188,-1.03%,131.681M,5.556M,5.556M,5.556M,7.276B
NYM-USD,NYM USD,0.191066,-0.000222,-0.12%,131.357M,1.809M,1.809M,1.809M,687.497M
PEOPLE-USD,ConstitutionDAO USD,0.025730,+0.000476,+1.89%,130.197M,24.404M,24.404M,24.404M,5.06B
SYN12147-USD,Synapse USD,0.701271,-0.026541,-3.65%,129.497M,6.062M,6.062M,6.062M,184.66M
ID21846-USD,SPACE ID USD,0.276487,-0.006835,-2.41%,129.187M,7.968M,7.968M,7.968M,467.245M
BLZ-USD,Bluzelle USD,0.300711,+0.002406,+0.81%,128.254M,6.355M,6.355M,6.355M,426.504M
BIGTIME-USD,Big Time USD,0.320420,-0.017685,-5.23%,127.646M,13.802M,13.802M,13.802M,398.37M
NFP28778-USD,NFPrompt USD,0.510248,-0.004228,-0.82%,127.562M,12.661M,12.661M,12.661M,250M
YGG-USD,Yield Guild Games USD,0.426501,-0.014535,-3.30%,127.228M,16.738M,16.738M,16.738M,298.307M
RDNT-USD,Radiant Capital USD,0.283127,-0.001740,-0.61%,126.7M,12.454M,12.454M,12.454M,447.503M
CQT-USD,Covalent USD,0.203554,-0.015402,-7.03%,127.232M,1.109M,1.109M,1.109M,625.051M
RIF-USD,Rootstock Infrastructure Framework USD,0.126516,-0.001422,-1.11%,126.516M,1.535M,1.535M,1.535M,1B
BONE11865-USD,Bone ShibaSwap USD,0.549504,+0.006192,+1.14%,126.344M,4.451M,4.451M,4.451M,229.923M
DGB-USD,DigiByte USD,0.007455,-0.000073,-0.97%,125.272M,1.829M,1.829M,1.829M,16.805B
POLYX-USD,Polymesh USD,0.151607,-0.000949,-0.62%,123.426M,2.763M,2.763M,2.763M,814.116M
DFI-USD,DeFiChain USD,0.142514,-0.011549,-7.50%,121.556M,4.058M,4.058M,4.058M,852.946M
SLP-USD,Smooth Love Potion USD,0.002937,+0.000000,+0.01%,121.458M,7.734M,7.734M,7.734M,41.353B
CTXC-USD,Cortex USD,0.550228,+0.029499,+5.66%,120.188M,27.444M,27.444M,27.444M,218.434M
LQTY-USD,Liquity USD,1.2685,-0.0145,-1.13%,120.536M,10.4M,10.4M,10.4M,95.021M
PROM-USD,Prom USD,6.5989,-0.1283,-1.91%,120.429M,1.89M,1.89M,1.89M,18.25M
CYBER24781-USD,CyberConnect USD,6.9118,-0.0439,-0.63%,119.876M,15.67M,15.67M,15.67M,17.344M
CELR-USD,Celer Network USD,0.016317,-0.000175,-1.06%,119.008M,2.036M,2.036M,2.036M,7.293B
RBTC-USD,Rootstock Smart Bitcoin USD,"42,902.36",+218.25,+0.51%,118.546M,"367,237","367,237","367,237","2,763"
DUSK-USD,Dusk USD,0.278509,+0.003109,+1.13%,117.298M,25.317M,25.317M,25.317M,421.164M
KEEP-USD,Keep Network USD,0.122872,+0.002784,+2.32%,116.856M,"4,622","4,622","4,622",951.038M
HONEY22850-USD,Hivemapper USD,0.173597,+0.012853,+8.00%,115.525M,1.738M,1.738M,1.738M,665.479M
EVER-USD,Everscale USD,0.059451,+0.000425,+0.72%,115.225M,"171,681","171,681","171,681",1.938B
ZEN-USD,Horizen USD,7.8419,-0.0616,-0.78%,114.742M,4.014M,4.014M,4.014M,14.632M
ONG3217-USD,Ontology Gas USD,0.305023,+0.001830,+0.60%,112.864M,1.947M,1.947M,1.947M,370.018M
DKA-USD,dKargo USD,0.030566,-0.000220,-0.71%,111.68M,"674,042","674,042","674,042",3.654B
RSR-USD,Reserve Rights USD,0.002184,-0.000018,-0.81%,110.534M,3.367M,3.367M,3.367M,50.6B
VUSDC-USD,Venus USDC USD,0.023104,+0.000005,+0.02%,110.23M,104.571M,104.571M,104.571M,4.771B
TRAC25208-USD,trac (Ordinals) USD,5.1588,-0.0343,-0.66%,108.335M,1.109M,1.109M,1.109M,21M
ORBS-USD,Orbs USD,0.034019,-0.000037,-0.11%,107.762M,2.822M,2.822M,2.822M,3.168B
PUNDIX-USD,Pundi X (New) USD,0.407193,-0.003827,-0.93%,105.256M,"991,419","991,419","991,419",258.492M
DEXE-USD,DeXe USD,2.8763,-0.0092,-0.32%,104.987M,1.371M,1.371M,1.371M,36.5M
STG18934-USD,Stargate Finance USD,0.510148,-0.008887,-1.71%,104.243M,9.186M,9.186M,9.186M,204.338M
HFT22461-USD,Hashflow USD,0.305902,-0.001515,-0.49%,103.704M,7.931M,7.931M,7.931M,339.011M
MLK-USD,MiL.k USD,0.304823,+0.005197,+1.73%,102.895M,3.542M,3.542M,3.542M,337.557M
NAKA-USD,Nakamoto Games USD,1.2800,-0.0289,-2.21%,102.996M,7.655M,7.655M,7.655M,80.464M
SURE-USD,inSure DeFi USD,0.003834,+0.000006,+0.15%,102.724M,"209,501","209,501","209,501",26.79B
STPT-USD,STP USD,0.052882,-0.000982,-1.82%,102.718M,3.686M,3.686M,3.686M,1.942B
ULTIMA-USD,Ultima USD,"6,680.42",-258.36,-3.72%,102.471M,2.093M,2.093M,2.093M,"15,339"
LOOM-USD,Loom Network USD,0.083936,-0.000104,-0.12%,102.354M,4.471M,4.471M,4.471M,1.219B
PLA7461-USD,PlayDapp USD,0.176990,-0.000580,-0.33%,102.194M,2.064M,2.064M,2.064M,577.401M
GAFI-USD,GameFi.org USD,9.2747,-0.3487,-3.62%,101.513M,"131,893","131,893","131,893",10.945M
HOOK-USD,Hooked Protocol USD,0.815002,-0.031999,-3.78%,100.868M,4.529M,4.529M,4.529M,123.765M
MUBI-USD,Multibit USD,0.106301,-0.007866,-6.89%,100.986M,13.021M,13.021M,13.021M,950M
TEL-USD,Telcoin USD,0.001163,+0.000012,+1.01%,100.223M,"307,931","307,931","307,931",86.149B
