Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
CTXC-USD,Cortex USD,0.545295,+0.029003,+5.62%,119.114M,20.752M,20.752M,20.752M,218.439M
CELR-USD,Celer Network USD,0.016233,-0.000251,-1.52%,118.397M,2.103M,2.103M,2.103M,7.293B
RBTC-USD,Rootstock Smart Bitcoin USD,"42,767.37",-123.91,-0.29%,118.173M,"194,342","194,342","194,342","2,763"
OM-USD,MANTRA USD,0.148660,+0.000150,+0.10%,117.926M,114.532M,114.532M,114.532M,793.258M
DUSK-USD,Dusk USD,0.277159,-0.001905,-0.68%,116.729M,25.495M,25.495M,25.495M,421.164M
EVER-USD,Everscale USD,0.059477,+0.000287,+0.49%,115.277M,"180,031","180,031","180,031",1.938B
ZEN-USD,Horizen USD,7.8618,-0.0646,-0.81%,115.04M,3.851M,3.851M,3.851M,14.633M
ONG3217-USD,Ontology Gas USD,0.303258,-0.000847,-0.28%,112.211M,1.91M,1.91M,1.91M,370.018M
VUSDC-USD,Venus USDC USD,0.023105,+0.000007,+0.03%,110.232M,104.217M,104.217M,104.217M,4.771B
RSR-USD,Reserve Rights USD,0.002170,-0.000028,-1.29%,109.82M,3.007M,3.007M,3.007M,50.6B
TRAC25208-USD,trac (Ordinals) USD,5.2168,-0.3858,-6.89%,109.553M,"858,983","858,983","858,983",21M
DKA-USD,dKargo USD,0.029976,-0.000398,-1.31%,109.524M,"619,665","619,665","619,665",3.654B
ORBS-USD,Orbs USD,0.033905,-0.000284,-0.83%,107.4M,2.69M,2.69M,2.69M,3.168B
PUNDIX-USD,Pundi X (New) USD,0.406476,-0.005542,-1.35%,105.071M,"884,940","884,940","884,940",258.492M
STG18934-USD,Stargate Finance USD,0.512184,-0.006795,-1.31%,104.659M,9.157M,9.157M,9.157M,204.338M
NAKA-USD,Nakamoto Games USD,1.3002,+0.0120,+0.93%,104.62M,7.86M,7.86M,7.86M,80.464M
DEXE-USD,DeXe USD,2.8625,-0.0271,-0.94%,104.481M,1.228M,1.228M,1.228M,36.5M
HFT22461-USD,Hashflow USD,0.305080,-0.003232,-1.05%,103.428M,7.58M,7.58M,7.58M,339.018M
VR-USD,Victoria VR USD,0.036782,-0.002388,-6.10%,103.258M,1.87M,1.87M,1.87M,2.807B
SURE-USD,inSure DeFi USD,0.003831,+0.000002,+0.06%,102.636M,"209,744","209,744","209,744",26.79B
STPT-USD,STP USD,0.052685,-0.000510,-0.96%,102.337M,2.679M,2.679M,2.679M,1.942B
MLK-USD,MiL.k USD,0.303167,+0.003297,+1.10%,102.336M,3.522M,3.522M,3.522M,337.557M
LOOM-USD,Loom Network USD,0.083497,-0.000704,-0.84%,101.818M,4.573M,4.573M,4.573M,1.219B
GAFI-USD,GameFi.org USD,9.2726,-0.5107,-5.22%,101.49M,"108,021","108,021","108,021",10.945M
MUBI-USD,Multibit USD,0.106701,-0.006504,-5.75%,101.366M,13.507M,13.507M,13.507M,950M
PLA7461-USD,PlayDapp USD,0.175332,-0.002469,-1.39%,101.237M,2.429M,2.429M,2.429M,577.401M
